iter	Logloss
0	0.5422371324
1	0.4649086052
2	0.4244709329
3	0.3948447266
4	0.3766937615
5	0.3662870807
6	0.3551654986
7	0.3430417337
8	0.3360696232
9	0.3319968118
10	0.3274513442
11	0.3247659697
12	0.3202237477
13	0.3167561466
14	0.3120882927
15	0.3089195198
16	0.3052792682
17	0.3021882755
18	0.2997407227
19	0.2965323989
20	0.294042222
21	0.2909383617
22	0.288484375
23	0.2869213867
24	0.2841165556
25	0.2820192153
26	0.2789545898
27	0.2761893957
28	0.273146628
29	0.270898696
30	0.2686428079
31	0.2669873621
32	0.2647046186
33	0.2626701517
34	0.2600591682
35	0.2578017865
36	0.255017693
37	0.2520548024
38	0.2494257813
39	0.2476148897
40	0.2455244141
41	0.2427768555
42	0.239864344
43	0.2370763873
44	0.2343774414
45	0.231899572
46	0.2300529354
47	0.2280064051
48	0.2251200597
49	0.2225490723
50	0.2204288258
51	0.2180694508
52	0.2161296243
53	0.2136066895
54	0.211482508
55	0.2102051068
56	0.2081893526
57	0.2053644301
58	0.2033729607
59	0.2014417509
60	0.1992686696
61	0.1981547134
62	0.1963871783
63	0.1938684513
64	0.191943862
65	0.1899631204
66	0.1884824937
67	0.1867213781
68	0.1854172507
69	0.1838092113
70	0.1822568647
71	0.1810421645
72	0.1795452378
73	0.1779336799
74	0.1760714614
75	0.1741272978
76	0.1724609519
77	0.170910386
78	0.1692320341
79	0.1668408347
80	0.1655632755
81	0.1637087115
82	0.1616726218
83	0.1604918859
84	0.1590591395
85	0.1578044864
86	0.1564942412
87	0.1552389131
88	0.154372415
89	0.1529629768
90	0.1506221996
91	0.1493149701
92	0.1481312471
93	0.1464251494
94	0.1453538316
95	0.1438555693
96	0.1423725442
97	0.1407955969
98	0.1392391429
99	0.1379870462
