iter	Passed	Remaining
0	122	12093
1	228	11185
2	330	10672
3	444	10672
4	555	10546
5	671	10522
6	793	10545
7	899	10339
8	1017	10291
9	1110	9990
10	1237	10010
11	1342	9842
12	1445	9671
13	1559	9581
14	1677	9505
15	1783	9365
16	1893	9246
17	2014	9178
18	2144	9142
19	2267	9068
20	2370	8915
21	2486	8814
22	2601	8710
23	2720	8615
24	2852	8557
25	2977	8475
26	3098	8378
27	3233	8315
28	3369	8248
29	3498	8163
30	3611	8038
31	3723	7912
32	3839	7795
33	3969	7706
34	4076	7571
35	4189	7447
36	4307	7333
37	4428	7224
38	4529	7084
39	4635	6952
40	4757	6845
41	4872	6728
42	4997	6624
43	5094	6483
44	5220	6381
45	5340	6268
46	5446	6141
47	5565	6029
48	5691	5924
49	5815	5815
50	5934	5701
51	6060	5594
52	6190	5490
53	6310	5375
54	6430	5261
55	6548	5145
56	6661	5025
57	6812	4932
58	6920	4809
59	7031	4687
60	7160	4578
61	7293	4469
62	7444	4372
63	7562	4253
64	7664	4126
65	7786	4011
66	7897	3889
67	8001	3765
68	8119	3648
69	8237	3530
70	8370	3418
71	8483	3299
72	8597	3179
73	8701	3057
74	8813	2937
75	8925	2818
76	9028	2696
77	9134	2576
78	9257	2460
79	9386	2346
80	9506	2229
81	9620	2111
82	9846	2016
83	9980	1900
84	10103	1782
85	10212	1662
86	10325	1542
87	10435	1423
88	10540	1302
89	10655	1183
90	10771	1065
91	10882	946
92	11003	828
93	11119	709
94	11236	591
95	11371	473
96	11490	355
97	11612	236
98	11730	118
99	11849	0
